0	68.41682448850511	0	180.774	180.774	0.565804	12.0	10	1015	0
68.41682448850511	69.19206044581743	0	180.983	180.983	19.170974	11.6	8	1020	99
69.19206044581743	93.13731145583515	0	191.733	191.733	0.823939	10.0	0	1023	1
93.13731145583515	94.12173839321659	0	100.025	100.025	23.326929	12.4	12	254	2
94.12173839321659	94.45244615112594	0	47.929	47.929	62.141115	11.4	7	30	3
94.45244615112594	101.44390188348615	0	174.7	174.7	2.641624	11.8	9	991	4
101.44390188348615	120.3267762903943	0	65.911	65.911	1.105645	10.2	1	990	5
120.3267762903943	121.42271366059671	0	100.025	100.025	23.326929	12.4	12	254	6
121.42271366059671	121.69703625850859	0	47.929	47.929	62.141115	11.4	7	30	7
121.69703625850859	143.16348960723195	0	191.733	191.733	0.823939	10.0	0	1023	8
143.16348960723195	143.21760230289607	0	179.12900000000002	179.12900000000002	402.694653	12.6	13	1020	9
143.21760230289607	152.5329435555852	0	174.7	174.7	2.641624	11.8	9	991	98
152.5329435555852	183.10679492784305	0	65.911	65.911	1.105645	10.2	1	990	10
183.10679492784305	184.15914084489043	0	100.025	100.025	23.326929	12.4	12	254	11
184.15914084489043	255.57419345404503	0	180.774	180.774	0.565804	12.0	10	1015	12
255.57419345404503	269.0694757122397	0	174.7	174.7	2.641624	11.8	9	991	13
269.0694757122397	269.2755517518171	0	150.647	150.647	78.408208	11.2	6	1021	14
269.2755517518171	287.6604167466323	52.5	117.095	64.595	1.088948	10.2	1	863	15
269.2755517518171	288.96129538288153	0	52.5	52.5	0.843729	10.4	2	831	97
288.96129538288153	290.34203622136215	0	182.22899999999998	182.22899999999998	15.716876	10.6	3	1021	16
290.34203622136215	290.34289385000363	0	198.36700000000002	198.36700000000002	25648.759086	12.8	14	479	17
290.34289385000363	290.4069957903044	0	179.12900000000002	179.12900000000002	402.694653	12.6	13	1020	19
290.4069957903044	291.98378322901544	0	180.983	180.983	19.170974	11.6	8	1020	18
291.98378322901544	300.91195085351933	0	174.7	174.7	2.641624	11.8	9	991	95
300.91195085351933	302.06000340703145	0	180.983	180.983	19.170974	11.6	8	1020	96
302.06000340703145	364.7172633511628	0	180.774	180.774	0.565804	12.0	10	1015	20
364.7172633511628	372.0343108231473	0	174.7	174.7	2.641624	11.8	9	991	21
372.0343108231473	394.9997735869798	0	191.733	191.733	0.823939	10.0	0	1023	22
394.9997735869798	421.76626018359735	0	191.733	191.733	0.823939	10.0	0	1023	23
421.76626018359735	422.0107704883584	0	150.647	150.647	78.408208	11.2	6	1021	24
422.0107704883584	432.0915037113383	102.13999999999999	195.82	93.68	2.045816	11.8	9	982	25
422.0107704883584	432.09974163127526	0	102.13999999999999	102.13999999999999	2.209195	11.8	9	954	26
432.09974163127526	441.72924060631544	0	174.7	174.7	2.641624	11.8	9	991	27
441.72924060631544	441.779073472145	0	179.12900000000002	179.12900000000002	402.694653	12.6	13	1020	29
441.779073472145	443.1420465775733	0	182.22899999999998	182.22899999999998	15.716876	10.6	3	1021	28
443.1420465775733	453.35175650404904	0	174.7	174.7	2.641624	11.8	9	991	30
453.35175650404904	453.76519283241294	150.647	169.53699999999998	18.89	44.41023	11.4	7	24	31
453.35175650404904	453.790236294204	0	150.647	150.647	78.408208	11.2	6	1021	32
453.790236294204	454.51386974449304	0	182.22899999999998	182.22899999999998	15.716876	10.6	3	1021	33
454.51386974449304	455.5243102945365	0	110.46000000000001	110.46000000000001	17.150632	12.2	11	255	34
455.5243102945365	456.2923944112849	0	137.572	137.572	16.096272	10.8	4	1024	35
456.2923944112849	456.59028741573496	0	150.647	150.647	78.408208	11.2	6	1021	36
456.59028741573496	483.1292003074145	0	52.5	52.5	0.843729	10.4	2	831	37
483.1292003074145	507.2564655323514	0	65.911	65.911	1.105645	10.2	1	990	38
507.2564655323514	507.3243455414853	0	179.12900000000002	179.12900000000002	402.694653	12.6	13	1020	39
507.3243455414853	507.3250647771212	0	198.36700000000002	198.36700000000002	25648.759086	12.8	14	479	40
507.3250647771212	508.2132702124562	0	137.572	137.572	16.096272	10.8	4	1024	41
508.2132702124562	509.34510229485	137.572	172.75	35.178	10.451298	12.2	11	178	42
508.2132702124562	509.3480184535606	0	137.572	137.572	16.096272	10.8	4	1024	94
509.3480184535606	509.3937793129246	0	179.12900000000002	179.12900000000002	402.694653	12.6	13	1020	43
509.3937793129246	510.7186856900365	0	100.025	100.025	23.326929	12.4	12	254	44
510.7186856900365	552.228025007202	0	180.774	180.774	0.565804	12.0	10	1015	45
552.228025007202	553.7130506434218	0	100.025	100.025	23.326929	12.4	12	254	46
553.7130506434218	555.4792586018364	0	110.46000000000001	110.46000000000001	17.150632	12.2	11	255	47
555.4792586018364	600.6131710326739	0	180.774	180.774	0.565804	12.0	10	1015	48
600.6131710326739	600.6655964906087	0	179.12900000000002	179.12900000000002	402.694653	12.6	13	1020	49
600.6655964906087	601.587892461177	0	137.572	137.572	16.096272	10.8	4	1024	52
601.587892461177	615.5184743114955	138.44	181.084	42.644000000000005	1.231391	11.8	9	806	53
601.587892461177	616.0289614205083	0	138.44	138.44	0.730963	10.0	0	989	50
616.0289614205083	616.0299805267446	0	198.36700000000002	198.36700000000002	25648.759086	12.8	14	479	51
616.0299805267446	645.6761975002523	186.27800000000002	199.20600000000002	12.927999999999997	0.442674	10.4	2	142	93
616.0299805267446	645.6766867124718	0	186.27800000000002	186.27800000000002	0.801903	10.0	0	959	54
645.6766867124718	645.6774872385477	0	198.36700000000002	198.36700000000002	25648.759086	12.8	14	479	55
