,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,4179
21,4305
22,3898
23,4086
24,3417
25,0
26,4273
27,4135
28,4084
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,4176
40,4112
41,4366
42,4239
43,4286
44,4121
45,4099
46,4190
47,0
48,4178
49,4133
50,4197
51,4296
52,1355
53,4091
54,4345
55,4121
56,4237
57,4381
58,0
59,4085
60,4187
61,4155
62,3967
63,4081
64,4216
65,4177
66,4208
67,4114
68,3801
69,4166
70,4099
71,4268
72,4063
73,4110
74,4356
75,4108
76,4131
77,4188
78,4173
79,4560
80,4178
81,4249
82,4041
83,4229
84,4010
85,4143
86,4068
87,4126
88,4044
89,4201
90,4079
91,4199
92,5291
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,1465
206,1531
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
