,0
0,3
1,2
2,4
3,3
4,4
5,1
6,0
7,0
8,0
9,2
10,2
11,2
12,2
13,2
14,2
15,3
16,2
17,1
18,1
19,2
20,2
21,2
22,2
23,1
24,6370
25,7429
26,7419
27,7533
28,7658
29,7587
30,6396
31,7158
32,7572
33,6313
34,6662
35,6048
36,6402
37,6746
38,6417
39,0
40,2887
41,6384
42,6657
43,6257
44,7335
45,6214
46,7463
47,6392
48,0
49,6359
50,6278
51,6380
52,6509
53,6064
54,4594
55,6551
56,6414
57,0
58,6436
59,6155
60,6611
61,6158
62,6039
63,0
64,6086
65,7340
66,0
67,6382
68,6147
69,1280
70,7619
71,7517
72,0
73,6640
74,6221
75,6066
76,0
77,7704
78,6494
79,6376
80,6479
81,7222
82,7509
83,2308
84,7578
85,7469
86,0
87,0
88,0
89,0
90,297
91,0
92,0
93,1034
94,1193
95,0
96,1094
97,1160
98,0
99,0
100,0
101,1077
102,1189
103,0
104,1053
105,0
106,0
107,968
108,1257
109,0
110,0
111,0
112,0
113,0
114,0
115,1258
116,0
117,0
118,1304
119,1391
120,0
121,1294
122,0
123,0
124,0
125,1229
126,0
127,906
128,1030
129,0
130,0
131,0
132,1074
133,0
134,1213
135,1125
136,1273
137,0
138,1193
139,0
140,1040
141,1111
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
