,0
0,0
1,1
2,1
3,5
4,4
5,4
6,3
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,2
17,1
18,0
19,2
20,0
21,9737
22,8
23,23404
24,22459
25,13783
26,22390
27,22804
28,23923
29,10775
30,20606
31,18514
32,17852
33,23341
34,23241
35,0
36,21596
37,24507
38,20374
39,22937
40,0
41,22509
42,21432
43,18977
44,22728
45,23627
46,20255
47,22500
48,16728
49,0
50,23729
51,23389
52,23072
53,22991
54,0
55,23559
56,23048
57,22043
58,23765
59,17871
60,22735
61,22633
62,0
63,12399
64,22766
65,1244
66,23477
67,26499
68,24154
69,24381
70,24929
71,0
72,22847
73,20768
74,24035
75,0
76,20750
77,22160
78,17350
79,22954
80,22435
81,0
82,22333
83,22993
84,21623
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
