,0
0,3
1,2
2,4
3,3
4,5
5,1
6,0
7,0
8,0
9,2
10,2
11,2
12,2
13,2
14,2
15,3
16,2
17,1
18,1
19,3
20,3
21,2
22,2
23,1
24,16774
25,21807
26,21229
27,20681
28,20988
29,20818
30,17156
31,18055
32,20163
33,16861
34,16037
35,16924
36,17381
37,18108
38,16868
39,0
40,9943
41,16864
42,16243
43,16257
44,20672
45,15883
46,21046
47,16258
48,0
49,17200
50,16697
51,16189
52,16950
53,17510
54,12761
55,17910
56,16551
57,0
58,16828
59,16823
60,17836
61,16423
62,16368
63,0
64,17017
65,20186
66,0
67,16026
68,16970
69,3288
70,21563
71,20774
72,0
73,17244
74,15781
75,16988
76,0
77,20932
78,16185
79,16639
80,17860
81,21271
82,20880
83,11416
84,21349
85,19753
86,0
87,0
88,0
89,0
90,417
91,0
92,0
93,4004
94,4428
95,0
96,4021
97,4477
98,0
99,0
100,0
101,4011
102,4213
103,0
104,4527
105,0
106,0
107,4054
108,3897
109,0
110,0
111,0
112,0
113,0
114,0
115,4092
116,0
117,0
118,3978
119,4158
120,0
121,4433
122,0
123,0
124,0
125,4192
126,0
127,3893
128,4049
129,0
130,0
131,0
132,3951
133,0
134,4353
135,4104
136,4488
137,0
138,3964
139,0
140,4138
141,4081
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
