,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,18360
21,19351
22,14877
23,18876
24,18191
25,0
26,19384
27,18928
28,19285
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,19248
40,19028
41,19641
42,18917
43,19267
44,18534
45,18807
46,18947
47,0
48,18836
49,18990
50,19236
51,19523
52,1939
53,18910
54,19618
55,18928
56,19371
57,19594
58,0
59,18776
60,18843
61,18748
62,18010
63,18633
64,19187
65,18982
66,19184
67,19166
68,15601
69,19348
70,18676
71,19089
72,19084
73,18654
74,19715
75,18864
76,18771
77,18686
78,19066
79,12259
80,19377
81,19385
82,18786
83,18932
84,16238
85,19108
86,19273
87,18712
88,18743
89,18666
90,19069
91,19209
92,17334
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,10536
206,10556
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
